SCHOOLJAAR 2011-2012 IN HET VO (peildatum 1 oktober 2011);;;;;;;SCHOOLJAAR 2012-2013 IN HET HO (peildatum 1 oktober 2012);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;techniek;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PD;wo;natuur;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gedrag en maatschappij;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PL;wo;gezondheidszorg;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;gezondheidszorg;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;taal en cultuur;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;168;Losser;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PI;wo;sectoroverstijgend;758;Breda;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;546;Leiden;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PH;wo;techniek;1859;Berkelland;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PB;wo;gezondheidszorg;546;Leiden;2
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;economie;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;355;Zeist;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PD;wo;natuur;356;Nieuwegein;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;503;Delft;2
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PF;wo;techniek;1842;Midden-Delfland;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PH;wo;techniek;153;Enschede;3
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PM;wo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PC;wo;gedrag en maatschappij;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PD;wo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PE;wo;economie;599;Rotterdam;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PM;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PN;wo;economie;855;Tilburg;1
