SCHOOLJAAR 2010-2011 IN HET VO (peildatum 1 oktober 2010);;;;;;;SCHOOLJAAR 2011-2012 IN HET HO (peildatum 1 oktober 2011);;;;;
BRIN NUMMER;VESTINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;Enschede;havo;geen diploma;nat/tech;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;153;Enschede;7
00AH;0;153;Enschede;havo;diploma;nat/tech;23AH;hbo;economie;153;Enschede;2
00AH;0;153;Enschede;havo;diploma;nat/tech;25BE;hbo;techniek;14;Groningen;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;22OJ;hbo;techniek;599;Rotterdam;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;5
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;economie;153;Enschede;4
00AH;0;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;25BE;hbo;techniek;14;Groningen;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;25BE;hbo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;havo;diploma;nat/gezond;25DW;hbo;techniek;312;Bunnik;1
00AH;0;153;Enschede;havo;diploma;ec/maat;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;techniek;153;Enschede;3
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gezondheidszorg;153;Enschede;2
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;24
00AH;0;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;1700;Twenterand;1
00AH;0;153;Enschede;havo;diploma;ec/maat;25BE;hbo;gedrag en maatschappij;14;Groningen;1
00AH;0;153;Enschede;havo;diploma;ec/maat;25DW;hbo;economie;344;Utrecht;1
00AH;0;153;Enschede;havo;diploma;cul/maat;01VU;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;07GR;hbo;economie;796;s-Hertogenbosch;1
00AH;0;153;Enschede;havo;diploma;cul/maat;08YJ;hbo;onderwijs;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;14NI;hbo;taal en cultuur;599;Rotterdam;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;techniek;153;Enschede;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;153;Enschede;4
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;168;Losser;1
00AH;0;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;2
00AH;0;153;Enschede;vwo;geen diploma;nat/gezond;22EX;hbo;economie;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PB;wo;gezondheidszorg;546;Leiden;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;natuur;14;Groningen;2
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;techniek;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PD;wo;gedrag en maatschappij;344;Utrecht;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PF;wo;techniek;503;Delft;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PK;wo;natuur;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;21PM;wo;natuur;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;nat/tech;27NF;hbo;taal en cultuur;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;3
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;economie;2020;Duitsland;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PI;wo;landbouw en natuurlijke omgeving;228;Ede;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PL;wo;taal en cultuur;362;Amstelveen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;recht;268;Nijmegen;1
00AH;0;153;Enschede;vwo;diploma;nat/gezond;27NF;hbo;taal en cultuur;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PC;wo;recht;14;Groningen;4
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gezondheidszorg;153;Enschede;2
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;153;Enschede;4
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PI;wo;landbouw en natuurlijke omgeving;289;Wageningen;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;21PK;wo;gedrag en maatschappij;363;Amsterdam;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;0;153;Enschede;vwo;diploma;ec/maat;23AH;hbo;economie;200;Apeldoorn;1
00AH;0;153;Enschede;vwo;diploma;cul/maat;21PL;wo;recht;168;Losser;1
00AH;0;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;natuur;14;Groningen;1
00AH;7;153;Enschede;havo;diploma;nat/tech;08YJ;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/tech;23AH;hbo;techniek;153;Enschede;8
00AH;7;153;Enschede;havo;diploma;nat/tech;23AH;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;01MY;hbo;landbouw en natuurlijke omgeving;303;Dronten;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;01VU;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;08YJ;hbo;onderwijs;153;Enschede;2
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;153;Enschede;3
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;techniek;173;Oldenzaal;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;3
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;2020;Duitsland;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;23AH;hbo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/gezond;30HD;hbo;landbouw en natuurlijke omgeving;80;Leeuwarden;1
00AH;7;153;Enschede;havo;diploma;ec/maat;01VU;hbo;economie;153;Enschede;2
00AH;7;153;Enschede;havo;diploma;ec/maat;08YJ;hbo;onderwijs;147;Borne;1
00AH;7;153;Enschede;havo;diploma;ec/maat;08YJ;hbo;onderwijs;153;Enschede;3
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;techniek;153;Enschede;4
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;14
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;158;Haaksbergen;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;economie;262;Lochem;1
00AH;7;153;Enschede;havo;diploma;ec/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;3
00AH;7;153;Enschede;havo;diploma;ec/maat;25KB;hbo;gezondheidszorg;164;Hengelo;1
00AH;7;153;Enschede;havo;diploma;ec/maat;28DN;hbo;economie;363;Amsterdam;1
00AH;7;153;Enschede;havo;diploma;cul/maat;01VU;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gezondheidszorg;164;Hengelo;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;153;Enschede;5
00AH;7;153;Enschede;havo;diploma;cul/maat;23AH;hbo;gedrag en maatschappij;164;Hengelo;1
00AH;7;153;Enschede;havo;diploma;cul/maat;25DW;hbo;gezondheidszorg;344;Utrecht;1
00AH;7;153;Enschede;havo;diploma;cul/maat;25KB;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/tech & nat/gezond;21RI;hbo;techniek;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;nat/tech & nat/gezond;23AH;hbo;techniek;153;Enschede;2
00AH;7;153;Enschede;havo;diploma;nat/tech & nat/gezond;25DW;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;havo;diploma;ec/maat & cul/maat;23AH;hbo;economie;153;Enschede;2
00AH;7;153;Enschede;vwo;geen diploma;nat/gezond;23AH;hbo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;natuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;gezondheidszorg;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;economie;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PC;wo;taal en cultuur;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PD;wo;sectoroverstijgend;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PG;wo;techniek;772;Eindhoven;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;techniek;153;Enschede;3
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PH;wo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PL;wo;gezondheidszorg;363;Amsterdam;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;21PM;wo;gezondheidszorg;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;23AH;hbo;techniek;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/tech;27NF;hbo;taal en cultuur;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;3
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;natuur;547;Leiderdorp;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;312;Bunnik;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PD;wo;gezondheidszorg;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;techniek;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PH;wo;gedrag en maatschappij;173;Oldenzaal;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;21PM;wo;gezondheidszorg;1734;Overbetuwe;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;22EX;hbo;economie;80;Leeuwarden;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;23AH;hbo;onderwijs;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;23AH;hbo;techniek;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;nat/gezond;23AH;hbo;gezondheidszorg;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;25DW;hbo;gezondheidszorg;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;nat/gezond;27NF;hbo;taal en cultuur;202;Arnhem;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;economie;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;recht;14;Groningen;2
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PC;wo;taal en cultuur;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PD;wo;economie;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;economie;173;Oldenzaal;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;141;Almelo;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PH;wo;gedrag en maatschappij;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;ec/maat;21PK;wo;recht;384;Diemen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat;23AH;hbo;economie;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PB;wo;taal en cultuur;579;Oegstgeest;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PD;wo;taal en cultuur;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PH;wo;gedrag en maatschappij;153;Enschede;2
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PK;wo;taal en cultuur;363;Amsterdam;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;21PM;wo;taal en cultuur;268;Nijmegen;1
00AH;7;153;Enschede;vwo;diploma;cul/maat;23AH;hbo;techniek;189;Wierden;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;gezondheidszorg;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;nat/tech & nat/gezond;21PC;wo;recht;14;Groningen;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PD;wo;gedrag en maatschappij;312;Bunnik;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PD;wo;taal en cultuur;344;Utrecht;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PH;wo;economie;153;Enschede;1
00AH;7;153;Enschede;vwo;diploma;ec/maat & cul/maat;21PM;wo;recht;153;Enschede;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;07GR;hbo;techniek;855;Tilburg;4
00AQ;0;1714;Sluis;havo;diploma;nat/tech;21MI;hbo;techniek;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;nat/tech;23AH;hbo;techniek;150;Deventer;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;28DN;hbo;techniek;392;Haarlem;1
00AQ;0;1714;Sluis;havo;diploma;nat/tech;30GB;hbo;techniek;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21CW;hbo;landbouw en natuurlijke omgeving;796;s-Hertogenbosch;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;21MI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;onderwijs;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;techniek;983;Venlo;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;gezondheidszorg;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;gedrag en maatschappij;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;nat/gezond;30GB;hbo;gedrag en maatschappij;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;00MF;hbo;economie;344;Utrecht;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;techniek;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;economie;758;Breda;3
00AQ;0;1714;Sluis;havo;diploma;ec/maat;07GR;hbo;gedrag en maatschappij;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;onderwijs;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;techniek;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21MI;hbo;economie;1714;Sluis;2
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;techniek;758;Breda;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;economie;758;Breda;2
00AQ;0;1714;Sluis;havo;diploma;ec/maat;21UI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;25KB;hbo;gedrag en maatschappij;268;Nijmegen;1
00AQ;0;1714;Sluis;havo;diploma;ec/maat;28DN;hbo;economie;363;Amsterdam;2
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;onderwijs;855;Tilburg;3
00AQ;0;1714;Sluis;havo;diploma;ec/maat;30GB;hbo;gedrag en maatschappij;772;Eindhoven;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;onderwijs;1714;Sluis;3
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;economie;715;Terneuzen;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;economie;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;21MI;hbo;gedrag en maatschappij;1714;Sluis;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;27UM;hbo;gezondheidszorg;603;Rijswijk;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;28DN;hbo;techniek;363;Amsterdam;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;30GB;hbo;onderwijs;855;Tilburg;2
00AQ;0;1714;Sluis;havo;diploma;cul/maat;30GB;hbo;economie;855;Tilburg;1
00AQ;0;1714;Sluis;havo;diploma;cul/maat;30GB;hbo;gedrag en maatschappij;772;Eindhoven;1
