00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;AMSTERDAM;WO;natuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;NIJMEGEN;WO;gezondheidszorg;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;ROTTERDAM;HBO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;AMSTERDAM;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;LEIDEN;WO;taal en cultuur;546;Leiden;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;UTRECHT;WO;recht;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;MAASTRICHT;WO;economie;935;Maastricht;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;AMSTERDAM;WO;taal en cultuur;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;NIJMEGEN;WO;natuur;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;NIJMEGEN;WO;recht;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;NIJMEGEN;WO;gedrag en maatschappij;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;ARNHEM;HBO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;LEIDEN;WO;taal en cultuur;546;Leiden;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;GRONINGEN;WO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;GRONINGEN;WO;natuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;GRONINGEN;WO;natuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;DELFT;WO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;EINDHOVEN;WO;techniek;772;Eindhoven;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;ENSCHEDE;WO;sectoroverstijgend;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;ENSCHEDE;WO;techniek;153;Enschede;2
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;ENSCHEDE;WO;techniek;168;Losser;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;AMSTERDAM;WO;natuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;NIJMEGEN;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;ENSCHEDE;HBO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;LEIDEN;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;LEIDEN;WO;gedrag en maatschappij;546;Leiden;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;GRONINGEN;WO;taal en cultuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;ROTTERDAM;WO;economie;599;Rotterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;ROTTERDAM;WO;recht;599;Rotterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;ROTTERDAM;WO;sectoroverstijgend;599;Rotterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;ENSCHEDE;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat & cul/maat;WAGENINGEN;WO;landbouw en natuurlijke omgeving;289;Wageningen;1
