SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET HO (peildatum 1 oktober 2014);;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PJ;WO;economie;935;Maastricht;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PJ;WO;recht;935;Maastricht;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PK;WO;gedrag en maatschappij;363;Amsterdam;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PK;WO;taal en cultuur;363;Amsterdam;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;economie;241;Groesbeek;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;economie;265;Millingen aan de Rijn;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;economie;282;Ubbergen;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;recht;0;Onbekend;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;recht;252;Heumen;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;recht;268;Nijmegen;2
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;recht;1705;Lingewaard;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PM;WO;taal en cultuur;268;Nijmegen;2
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;21PN;WO;taal en cultuur;855;Tilburg;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;25KB;HBO;onderwijs;265;Millingen aan de Rijn;1
01VN;0;268;NIJMEGEN;vwo;diploma;ec/maat & cul/maat;30GB;HBO;techniek;772;Eindhoven;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech;27PZ;HBO;techniek;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;21UG;HBO;onderwijs;398;Heerhugowaard;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;27PZ;HBO;gezondheidszorg;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;27PZ;HBO;gezondheidszorg;365;Graft-De Rijp;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;27PZ;HBO;techniek;365;Graft-De Rijp;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;27PZ;HBO;techniek;398;Heerhugowaard;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;28DN;HBO;economie;416;Langedijk;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;28DN;HBO;gezondheidszorg;365;Graft-De Rijp;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;28DN;HBO;gezondheidszorg;370;Beemster;1
01XF;0;361;ALKMAAR;havo;diploma;nat/gezond;28DN;HBO;onderwijs;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;22EX;HBO;economie;80;Leeuwarden;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;27PZ;HBO;economie;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;27PZ;HBO;economie;383;Castricum;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;27PZ;HBO;economie;416;Langedijk;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;27PZ;HBO;economie;429;Obdam;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;economie;361;Alkmaar;6
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;economie;373;Bergen (NH.);1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;economie;384;Diemen;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;economie;392;Haarlem;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;economie;398;Heerhugowaard;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat;28DN;HBO;onderwijs;450;Uitgeest;1
01XF;0;361;ALKMAAR;havo;diploma;cul/maat;28DN;HBO;gedrag en maatschappij;365;Graft-De Rijp;1
01XF;0;361;ALKMAAR;havo;diploma;cul/maat;28DN;HBO;onderwijs;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;cul/maat;30HD;HBO;landbouw en natuurlijke omgeving;202;Arnhem;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;22EX;HBO;economie;80;Leeuwarden;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;27PZ;HBO;techniek;370;Beemster;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;28DN;HBO;economie;383;Castricum;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;28DN;HBO;gedrag en maatschappij;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;28DN;HBO;gezondheidszorg;373;Bergen (NH.);1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;28DN;HBO;onderwijs;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;28DN;HBO;techniek;383;Castricum;1
01XF;0;361;ALKMAAR;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;772;Eindhoven;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat & cul/maat;07GR;HBO;gedrag en maatschappij;772;Eindhoven;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat & cul/maat;22OJ;HBO;taal en cultuur;599;Rotterdam;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat & cul/maat;27UM;HBO;economie;361;Alkmaar;1
01XF;0;361;ALKMAAR;havo;diploma;ec/maat & cul/maat;28DN;HBO;onderwijs;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;geen diploma;nat/gezond;28DN;HBO;economie;399;Heiloo;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech;21PB;WO;taal en cultuur;546;Leiden;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech;21PE;WO;economie;599;Rotterdam;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech;21PK;WO;natuur;373;Bergen (NH.);1
01XF;0;361;ALKMAAR;vwo;diploma;nat/gezond;27UM;HBO;techniek;518;s-Gravenhage;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat;21PJ;WO;gedrag en maatschappij;935;Maastricht;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat;21PK;WO;economie;392;Haarlem;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat;21PK;WO;recht;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat;21PL;WO;gedrag en maatschappij;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;cul/maat;21PD;WO;gedrag en maatschappij;344;Utrecht;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech & nat/gezond;21PB;WO;gezondheidszorg;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech & nat/gezond;21PK;WO;gezondheidszorg;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech & nat/gezond;21PL;WO;economie;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech & nat/gezond;21PL;WO;natuur;383;Castricum;1
01XF;0;361;ALKMAAR;vwo;diploma;nat/tech & nat/gezond;27PZ;HBO;techniek;373;Bergen (NH.);1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat & cul/maat;21PK;WO;recht;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat & cul/maat;21PL;WO;economie;361;Alkmaar;1
01XF;0;361;ALKMAAR;vwo;diploma;ec/maat & cul/maat;27PZ;HBO;economie;361;Alkmaar;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;00MF;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;07GR;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;07GR;HBO;techniek;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;21MI;HBO;techniek;718;Vlissingen;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;21UI;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;30GB;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;3
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;30GB;HBO;techniek;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech;30GB;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;07GR;HBO;economie;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;07GR;HBO;economie;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;07GR;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;07GR;HBO;gezondheidszorg;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;07GR;HBO;techniek;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;23AH;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;25JX;HBO;gedrag en maatschappij;1883;Sittard-Geleen;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;25JX;HBO;gezondheidszorg;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;25JX;HBO;gezondheidszorg;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;25KB;HBO;economie;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;25KB;HBO;gedrag en maatschappij;268;Nijmegen;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;gedrag en maatschappij;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;gezondheidszorg;1771;Geldrop-Mierlo;4
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;onderwijs;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;techniek;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30GB;HBO;techniek;1771;Geldrop-Mierlo;3
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/gezond;30HD;HBO;landbouw en natuurlijke omgeving;80;Leeuwarden;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;economie;820;Nuenen, Gerwen en Nederwetten;4
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;economie;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;economie;1771;Geldrop-Mierlo;8
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;gedrag en maatschappij;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;07GR;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;08OK;HBO;onderwijs;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;21UI;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;21UI;HBO;economie;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;21UI;HBO;economie;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;21UI;HBO;economie;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;25JX;HBO;economie;935;Maastricht;3
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;25KB;HBO;gedrag en maatschappij;268;Nijmegen;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;25KB;HBO;onderwijs;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;28DN;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;economie;772;Eindhoven;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;economie;820;Nuenen, Gerwen en Nederwetten;4
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;economie;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;economie;1771;Geldrop-Mierlo;10
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;gedrag en maatschappij;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;gedrag en maatschappij;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;3
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;gezondheidszorg;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;onderwijs;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat;30GB;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;21UI;HBO;economie;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;25JX;HBO;economie;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;30GB;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;30GB;HBO;economie;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;30GB;HBO;economie;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;30GB;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;cul/maat;30GB;HBO;onderwijs;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;07GR;HBO;gezondheidszorg;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;07GR;HBO;techniek;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;21CW;HBO;landbouw en natuurlijke omgeving;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;25JX;HBO;gezondheidszorg;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;27PZ;HBO;economie;518;s-Gravenhage;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;30GB;HBO;onderwijs;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;nat/tech & nat/gezond;30GB;HBO;techniek;1771;Geldrop-Mierlo;6
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;07GR;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;07GR;HBO;economie;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;07GR;HBO;gedrag en maatschappij;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;07GR;HBO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;25DW;HBO;economie;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;25JX;HBO;gezondheidszorg;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;30GB;HBO;economie;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;30GB;HBO;economie;1771;Geldrop-Mierlo;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;30GB;HBO;gedrag en maatschappij;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;havo;diploma;ec/maat & cul/maat;30GB;HBO;onderwijs;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;vwo;geen diploma;nat/tech & nat/gezond;30GB;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PB;WO;natuur;546;Leiden;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PD;WO;natuur;344;Utrecht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PF;WO;techniek;503;Delft;2
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PG;WO;techniek;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PG;WO;techniek;1658;Heeze-Leende;2
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;21PG;WO;techniek;1771;Geldrop-Mierlo;5
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech;30GB;HBO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PD;WO;gedrag en maatschappij;344;Utrecht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PJ;WO;gedrag en maatschappij;935;Maastricht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PJ;WO;gezondheidszorg;935;Maastricht;4
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PM;WO;gedrag en maatschappij;209;Beuningen;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/gezond;21PM;WO;recht;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;07GR;HBO;economie;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PB;WO;taal en cultuur;546;Leiden;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PD;WO;natuur;344;Utrecht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PE;WO;sectoroverstijgend;599;Rotterdam;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PJ;WO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PK;WO;economie;820;Nuenen, Gerwen en Nederwetten;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PN;WO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PN;WO;economie;820;Nuenen, Gerwen en Nederwetten;4
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PN;WO;economie;1771;Geldrop-Mierlo;8
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PN;WO;gedrag en maatschappij;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;21PN;WO;recht;855;Tilburg;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat;30GB;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;cul/maat;25JX;HBO;economie;935;Maastricht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;cul/maat;30GB;HBO;economie;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;cul/maat;30GB;HBO;economie;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;cul/maat;30GB;HBO;gezondheidszorg;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;cul/maat;30GB;HBO;taal en cultuur;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PB;WO;gezondheidszorg;546;Leiden;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PB;WO;sectoroverstijgend;518;s-Gravenhage;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PE;WO;economie;599;Rotterdam;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;820;Nuenen, Gerwen en Nederwetten;2
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;1658;Heeze-Leende;4
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PG;WO;techniek;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PI;WO;landbouw en natuurlijke omgeving;228;Ede;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PJ;WO;gezondheidszorg;935;Maastricht;2
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PK;WO;gedrag en maatschappij;794;Helmond;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PM;WO;gezondheidszorg;268;Nijmegen;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;nat/tech & nat/gezond;21PN;WO;economie;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat & cul/maat;07GR;HBO;economie;1658;Heeze-Leende;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat & cul/maat;07GR;HBO;economie;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat & cul/maat;21PD;WO;gedrag en maatschappij;1771;Geldrop-Mierlo;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat & cul/maat;21PD;WO;taal en cultuur;344;Utrecht;1
01XL;0;1771;GELDROP-MIERLO;vwo;diploma;ec/maat & cul/maat;21PN;WO;taal en cultuur;1771;Geldrop-Mierlo;1
01XN;0;166;KAMPEN;havo;diploma;nat/gezond;01VU;HBO;gedrag en maatschappij;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;nat/gezond;01VU;HBO;gezondheidszorg;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;nat/gezond;25BE;HBO;gezondheidszorg;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;01VU;HBO;economie;166;Kampen;11
01XN;0;166;KAMPEN;havo;diploma;ec/maat;01VU;HBO;economie;246;Heerde;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;01VU;HBO;onderwijs;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;01VU;HBO;techniek;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;21UI;HBO;economie;826;Oosterhout;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;22EX;HBO;economie;80;Leeuwarden;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;23AH;HBO;economie;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;1
01XN;0;166;KAMPEN;havo;diploma;ec/maat;23AH;HBO;gedrag en maatschappij;166;Kampen;3
01XN;0;166;KAMPEN;havo;diploma;ec/maat;25BE;HBO;gedrag en maatschappij;14;Groningen;1
01XN;0;166;KAMPEN;havo;diploma;cul/maat;01VU;HBO;economie;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;cul/maat;01VU;HBO;onderwijs;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;cul/maat;23AH;HBO;gedrag en maatschappij;153;Enschede;1
01XN;0;166;KAMPEN;havo;diploma;cul/maat;25BE;HBO;gezondheidszorg;166;Kampen;1
01XN;0;166;KAMPEN;havo;diploma;nat/tech & nat/gezond;22OJ;HBO;techniek;599;Rotterdam;1
01XN;0;166;KAMPEN;vwo;geen diploma;nat/gezond;21WN;HBO;techniek;93;Terschelling;1
01XN;0;166;KAMPEN;vwo;diploma;nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;1
01XN;0;166;KAMPEN;vwo;diploma;nat/gezond;21PL;WO;gezondheidszorg;479;Zaanstad;1
01XN;0;166;KAMPEN;vwo;diploma;nat/gezond;30TX;HBO;landbouw en natuurlijke omgeving;166;Kampen;1
01XN;0;166;KAMPEN;vwo;diploma;ec/maat;01VU;HBO;economie;166;Kampen;1
01XN;0;166;KAMPEN;vwo;diploma;ec/maat;01VU;HBO;onderwijs;166;Kampen;1
