SCHOOLJAAR 2013-2014 IN HET VO (peildatum 1 oktober 2013);;;;;;;SCHOOLJAAR 2014-2015 IN HET HO (peildatum 1 oktober 2014);;;;;
BRIN NUMMER;VESTIGINGSNUMMER;GEMEENTENUMMER;GEMEENTENAAM;ONDERWIJSTYPE VO;DIPLOMA BEHAALD;PROFIEL;BRIN NUMMER;SOORT HO;CROHO ONDERDEEL;GEMEENTNUMMER DEELNEMER;GEMEENTENAAM DEELNEMER;AANTAL DOORSTROMERS
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech;21PH;WO;techniek;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;02NR;HBO;economie;518;s-Gravenhage;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PB;WO;gedrag en maatschappij;546;Leiden;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;economie;14;Groningen;2
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PC;WO;techniek;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PD;WO;economie;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PD;WO;natuur;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PK;WO;economie;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PK;WO;natuur;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PM;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/gezond;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;economie;14;Groningen;6
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PC;WO;gedrag en maatschappij;14;Groningen;2
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PH;WO;gedrag en maatschappij;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;21PL;WO;gedrag en maatschappij;363;Amsterdam;1
00AH;0;153;ENSCHEDE;vwo;diploma;ec/maat;23AH;HBO;economie;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;21PC;WO;gedrag en maatschappij;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;21PD;WO;recht;168;Losser;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;21PM;WO;gedrag en maatschappij;268;Nijmegen;1
00AH;0;153;ENSCHEDE;vwo;diploma;cul/maat;27NF;HBO;taal en cultuur;153;Enschede;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PB;WO;gedrag en maatschappij;575;Noordwijk;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;economie;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;gedrag en maatschappij;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;gezondheidszorg;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;natuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;taal en cultuur;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PC;WO;techniek;14;Groningen;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gedrag en maatschappij;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;gezondheidszorg;344;Utrecht;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PD;WO;taal en cultuur;200;Apeldoorn;1
00AH;0;153;ENSCHEDE;vwo;diploma;nat/tech & nat/gezond;21PF;WO;techniek;503;Delft;3
